p_f_pct,Winter_exact,Spring_exact,Summer_exact,Autumn_exact,Winter_op,Spring_op,Summer_op,Autumn_op,S1_exact,S1_op
48.7,23.942,24.26,24.746,24.344,24.0,24.25,24.75,24.25,25.383,25.5
49.2,23.949,24.267,24.754,24.351,24.0,24.25,24.75,24.25,25.386,25.5
49.7,23.956,24.275,24.763,24.359,24.0,24.25,24.75,24.25,25.389,25.5
50.3,23.962,24.282,24.772,24.366,24.0,24.25,24.75,24.25,25.392,25.5
50.8,23.969,24.289,24.78,24.374,24.0,24.25,24.75,24.25,25.395,25.5
51.3,23.976,24.297,24.789,24.382,24.0,24.25,24.75,24.5,25.399,25.5
51.8,23.982,24.304,24.798,24.389,24.0,24.25,24.75,24.5,25.402,25.5
52.3,23.989,24.311,24.806,24.397,24.0,24.25,24.75,24.5,25.405,25.5
52.8,23.996,24.319,24.815,24.405,24.0,24.25,24.75,24.5,25.408,25.5
53.3,24.002,24.326,24.823,24.412,24.0,24.25,24.75,24.5,25.411,25.5
53.8,24.009,24.334,24.832,24.42,24.0,24.25,24.75,24.5,25.414,25.5
54.3,24.016,24.341,24.841,24.428,24.0,24.25,24.75,24.5,25.417,25.5
54.8,24.022,24.348,24.849,24.435,24.0,24.25,24.75,24.5,25.42,25.5
55.3,24.029,24.356,24.858,24.443,24.0,24.25,24.75,24.5,25.424,25.5
55.8,24.036,24.363,24.866,24.45,24.0,24.25,24.75,24.5,25.427,25.5
56.3,24.042,24.371,24.875,24.458,24.0,24.25,25.0,24.5,25.43,25.5
56.8,24.049,24.378,24.884,24.466,24.0,24.5,25.0,24.5,25.433,25.5
57.3,24.055,24.385,24.892,24.473,24.0,24.5,25.0,24.5,25.436,25.5
57.8,24.062,24.393,24.901,24.481,24.0,24.5,25.0,24.5,25.439,25.5
58.3,24.069,24.4,24.909,24.489,24.0,24.5,25.0,24.5,25.442,25.5
58.8,24.075,24.408,24.918,24.496,24.0,24.5,25.0,24.5,25.445,25.5
59.3,24.082,24.415,24.927,24.504,24.0,24.5,25.0,24.5,25.448,25.5
59.8,24.089,24.422,24.935,24.511,24.0,24.5,25.0,24.5,25.452,25.5
60.3,24.095,24.43,24.944,24.519,24.0,24.5,25.0,24.5,25.455,25.5
60.8,24.102,24.437,24.953,24.527,24.0,24.5,25.0,24.5,25.458,25.5
61.3,24.109,24.445,24.961,24.534,24.0,24.5,25.0,24.5,25.461,25.5
61.8,24.115,24.452,24.97,24.542,24.0,24.5,25.0,24.5,25.464,25.5
62.3,24.122,24.459,24.978,24.55,24.0,24.5,25.0,24.5,25.467,25.5
62.8,24.129,24.467,24.987,24.557,24.25,24.5,25.0,24.5,25.47,25.5
63.3,24.135,24.474,24.996,24.565,24.25,24.5,25.0,24.5,25.473,25.5
63.8,24.142,24.482,25.004,24.572,24.25,24.5,25.0,24.5,25.477,25.5
64.3,24.149,24.489,25.013,24.58,24.25,24.5,25.0,24.5,25.48,25.5
64.8,24.155,24.496,25.021,24.588,24.25,24.5,25.0,24.5,25.483,25.5
65.3,24.162,24.504,25.03,24.595,24.25,24.5,25.0,24.5,25.486,25.5
65.8,24.169,24.511,25.039,24.603,24.25,24.5,25.0,24.5,25.489,25.5
66.3,24.175,24.519,25.047,24.611,24.25,24.5,25.0,24.5,25.492,25.5
66.8,24.182,24.526,25.056,24.618,24.25,24.5,25.0,24.5,25.495,25.5
67.3,24.189,24.533,25.064,24.626,24.25,24.5,25.0,24.75,25.498,25.5
67.8,24.195,24.541,25.073,24.634,24.25,24.5,25.0,24.75,25.502,25.5
68.3,24.202,24.548,25.082,24.641,24.25,24.5,25.0,24.75,25.505,25.5
68.8,24.209,24.556,25.09,24.649,24.25,24.5,25.0,24.75,25.508,25.5
69.3,24.215,24.563,25.099,24.656,24.25,24.5,25.0,24.75,25.511,25.5
69.8,24.222,24.57,25.107,24.664,24.25,24.5,25.0,24.75,25.514,25.5
